Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
10/09/09,2009091000,1,1,NA,15:00,15,3600,0,TEN,30,30,0,0,0,NA,PIT,TEN,R.Bironas kicks 67 yards from TEN 30 to PIT 3. S.Logan to PIT 42 for 39 yards (M.Griffin).,1,39,0,0,NA,NA,NA,0,0,NA,Kickoff,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,NA,S.Logan,NA,M.Griffin,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.001506327,0.179748786,0.006639108,0.281137706,0.213700143,0.003592313,0.313675617,0,0,0.323525854,2.014473905,NA,NA,0.485674986,0.514325014,0.54643284,0.45356716,0.485674986,0.060757854,NA,NA,2009
10/09/09,2009091000,1,1,1,14:53,15,3593,7,PIT,42,58,10,5,0,0,PIT,TEN,(14:53) B.Roethlisberger pass short left to H.Ward to PIT 47 for 5 yards (C.Hope).,1,5,0,0,NA,NA,NA,0,0,NA,Pass,B.Roethlisberger,00-0022924,1,Complete,Short,-3,8,0,left,0,NA,NA,None,0,NA,NA,H.Ward,00-0017162,1,NA,NA,NA,C.Hope,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,9.69E-04,0.108505342,0.001060706,0.169116698,0.293699785,0.00363751,0.423011386,0,0,2.337999759,0.077907158,-1.068168648,1.146075806,0.54643284,0.45356716,0.551087817,0.448912183,0.54643284,0.004654977,-0.032243987,0.036898964,2009
10/09/09,2009091000,1,1,2,14:16,15,3556,37,PIT,47,53,5,2,0,0,PIT,TEN,(14:16) W.Parker right end to PIT 44 for -3 yards (S.Tulloch).,1,-3,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,W.Parker,00-0022250,1,right,end,NA,None,0,NA,NA,NA,S.Tulloch,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.001057215,0.105106231,9.81E-04,0.162746772,0.30480453,0.003826029,0.421478423,0,0,2.415906917,-1.402759831,NA,NA,0.551087817,0.448912183,0.510793091,0.489206909,0.551087817,-0.040294726,NA,NA,2009
10/09/09,2009091000,1,1,3,13:35,14,3515,41,PIT,44,56,8,2,0,0,PIT,TEN,(13:35) (Shotgun) B.Roethlisberger pass incomplete deep right to M.Wallace. COVERAGE BY #24 HOPE,1,0,0,0,NA,NA,NA,0,0,NA,Pass,B.Roethlisberger,00-0022924,1,Incomplete Pass,Deep,34,0,0,right,0,NA,NA,None,0,NA,NA,M.Wallace,00-0026901,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.001433865,0.14908828,0.001943963,0.234800846,0.289335883,0.004776405,0.318620759,0,0,1.013147086,-1.712583494,3.318841088,-5.031424582,0.510793091,0.489206909,0.461217114,0.538782886,0.510793091,-0.049575977,0.106662555,-0.156238532,2009
10/09/09,2009091000,1,1,4,13:27,14,3507,8,PIT,44,56,8,2,0,1,PIT,TEN,"(13:27) (Punt formation) D.Sepulveda punts 54 yards to TEN 2, Center-G.Warren, downed by PIT-K.Lewis.",1,0,0,0,NA,NA,NA,0,0,Clean,Punt,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.001861301,0.213479555,0.003278685,0.322262127,0.244603447,0.006404003,0.208110881,0,0,-0.699436408,2.097795974,NA,NA,0.461217114,0.538782886,0.558929401,0.441070599,0.461217114,0.097712287,NA,NA,2009
10/09/09,2009091000,2,1,1,13:16,14,3496,11,TEN,2,98,10,0,0,0,TEN,PIT,"(13:16) C.Johnson up the middle to TEN 2 for no gain (B.Keisel, J.Farrior).",1,0,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,C.Johnson,00-0026164,1,middle,NA,NA,None,0,NA,NA,NA,B.Keisel,J.Farrior,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.002944085,0.236917828,0.025922799,0.370073667,0.144684949,0.003099273,0.216357399,0,0,-1.398359566,-0.696302134,NA,NA,0.558929401,0.441070599,0.578453229,0.421546771,0.441070599,-0.019523828,NA,NA,2009
10/09/09,2009091000,2,1,2,12:40,13,3460,36,TEN,2,98,10,4,0,0,TEN,PIT,(12:40) K.Collins pass short left to A.Hall to TEN 6 for 4 yards (T.Polamalu).,1,4,0,0,NA,NA,NA,0,0,NA,Pass,K.Collins,00-0003292,1,Complete,Short,3,1,0,left,0,NA,NA,None,0,NA,NA,A.Hall,00-0024489,1,NA,NA,NA,T.Polamalu,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.003282641,0.264021776,0.024131588,0.40939662,0.116551082,0.00330483,0.179311463,0,0,-2.094661699,-0.179149379,-0.343084865,0.163935486,0.578453229,0.421546771,0.582880513,0.417119487,0.421546771,-0.004427284,-0.010456105,0.006028821,2009
10/09/09,2009091000,2,1,3,12:11,13,3431,29,TEN,6,94,6,2,0,0,TEN,PIT,(12:11) (Shotgun) C.Johnson left end to TEN 4 for -2 yards (T.Polamalu).,1,-2,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,C.Johnson,00-0026164,1,left,end,NA,None,0,NA,NA,NA,T.Polamalu,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.0032443,0.282790726,0.018506817,0.420930484,0.086777446,0.003299161,0.184451066,0,0,-2.273811079,-1.119477208,NA,NA,0.582880513,0.417119487,0.617543686,0.382456314,0.417119487,-0.034663173,NA,NA,2009
10/09/09,2009091000,2,1,4,11:34,12,3394,37,TEN,4,96,8,2,0,1,TEN,PIT,"(11:34) (Punt formation) C.Hentrich punts 50 yards to PIT 46, Center-K.Amato. S.Logan to TEN 43 for 11 yards (M.Griffin).",1,11,0,0,NA,NA,NA,0,0,Clean,Punt,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,NA,S.Logan,NA,M.Griffin,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.003022778,0.337299728,0.01342987,0.483402289,0.023640903,0.003213415,0.135991017,0,0,-3.393288287,-0.021312622,NA,NA,0.617543686,0.382456314,0.591489202,0.408510798,0.382456314,0.026054484,NA,NA,2009
10/09/09,2009091000,3,1,1,11:24,12,3384,10,TEN,43,43,10,3,0,0,PIT,TEN,(11:24) B.Roethlisberger pass short right to M.Wallace to TEN 40 for 3 yards (W.Hayes).,1,3,0,0,NA,NA,NA,0,0,NA,Pass,B.Roethlisberger,00-0022924,1,Complete,Short,-2,5,0,right,0,NA,NA,None,0,NA,NA,M.Wallace,00-0026901,1,NA,NA,NA,W.Hayes,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,PIT,TEN,0,None,3,3,3,3,3,0.001494475,0.069965384,2.75E-04,0.107950632,0.336206587,0.00333385,0.480773574,0,0,3.414600909,-0.215292526,-0.756894384,0.541601858,0.591489202,0.408510798,0.585405049,0.414594951,0.591489202,-0.006084153,-0.0245258,0.018441647,2009
